13,11724,0.158s,0
12,30107410,265.358s,1
13,6283,0.114s,0
12,26043472,197.459s,2
12,13852052,215.602s,2
12,5809828,41.009s,1
12,4058011,26.726s,0
12,13442784,91.825s,1
12,18543541,123.015s,1
12,10461127,70.96s,1
12,9136421,117.516s,3
13,15760,0.712,0
13,5571,0.509,0
13,19198,1.109,0
13,13810,0.77,0
13,6128,0.613,0
13,6128,0.56,0
13,17537,0.868,0
13,8207,0.632,0
13,8390,0.62,0
13,8390,0.635,0
13,5873,0.589,0
13,10690,0.777,0
13,9313,0.756,0
13,11165,0.725,0
13,11165,0.68,0
13,8156,0.563,0
13,9708,0.623,0
13,5531,0.55,0
13,5531,0.511,0
13,16274,0.79,0
13,6085,0.59,0
13,6085,0.582,0
13,16226,0.82,0
13,8244,0.649,0
13,8166,0.628,0
13,8166,0.794,0
13,7727,0.642,0
13,16575,0.981,0
13,6448,0.579,0
13,4056,0.58,0
13,4056,0.513,0
13,5524,0.485,0
13,5552,0.528,0
13,5552,0.604,0
13,14134,0.73,0
12,7302318,185.437,0
12,3494261,91.411,2
12,7298120,231.34,1
