28,1180647,12.042s,0
28,1910094,7.337s,0
28,3910095,20.214s,1
28,5910096,20.682s,1
28,6187686,2.861s,0
28,7450564,12.617s,0
28,9450565,20.523s,1
28,11450566,20.42s,1
28,3000001,30.475s,1
28,6000002,31.27s,1
28,9000003,30.603s,1
28,12000004,30.999s,1
28,1194460,11.708s,0
28,2870675,16.266s,0
28,2907268,28.615s,0
28,4819341,19.006s,0
28,5421887,6.154s,0
28,20581748,153.278s,0
28,20936842,3.494s,0
28,27075794,62.834s,0
28,31139579,42.803s,0
28,31784782,7.023s,0
28,37989124,64.053s,0
28,38846311,8.376s,0
28,44564314,57.804s,0
28,45148343,6.719s,0
28,52164199,450.586s,0
28,52626828,35.848s,0
28,53056416,4.186s,0
28,53173663,1.324s,0
28,58188132,53.046s,0
28,58870251,6.807s,0
28,60121461,12.272s,0
28,60489278,3.813s,0
28,64193647,40.033s,0
28,66846468,28.566s,0
28,73514889,67.438s,0
28,74601855,10.786s,0
28,83436501,90.297s,0
28,85523486,21.043s,0
28,87547519,20.626s,0
28,89793695,22.839s,0
28,93097765,33s,0
28,93212123,1.298s,0
28,100859221,79.414s,0
28,101746296,9.327s,0
28,102084468,3.967s,0
28,105235566,32.856s,0
28,107873166,60.236s,0
28,2672270,104.232s,0
28,1370370,55.518s,0
28,2426246,94.635s,0
